Date,Price,Return
2014-07-31,2285.43,0.003546095
2014-08-01,2264.01,-0.009416613
2014-08-04,2296.14,0.014091875
2014-08-05,2294.92,-0.000531468
2014-08-06,2294.67,-0.000108942
2014-08-07,2270.07,-0.010778374
2014-08-08,2273.9,0.001685751
2014-08-11,2308.08,0.014919591
2014-08-12,2308.58,0.000216607
2014-08-13,2320.22,0.005029392
2014-08-14,2302.37,-0.007722982
2014-08-15,2321.65,0.008339113
2014-08-18,2331.42,0.004199384
2014-08-19,2336.39,0.002129479
2014-08-20,2331.82,-0.001957925
2014-08-21,2316.31,-0.006673676
2014-08-22,2325.45,0.003938166
2014-08-25,2317.3,-0.003510854
2014-08-26,2304.52,-0.005530303
2014-08-27,2301.06,-0.001502525
2014-08-28,2279.82,-0.009273394
2014-08-29,2295.52,0.006862905
2014-09-01,2305.7,0.004424921
2014-09-02,2324.66,0.008189474
2014-09-03,2366.37,0.017783344
2014-09-04,2375.58,0.003884483
2014-09-05,2385.01,0.003961699
2014-09-08,2385.89,0.000368903
2014-09-09,2384.83,-0.000444377
2014-09-10,2357.38,-0.01157701
2014-09-11,2348.5,-0.003774006
2014-09-12,2352.26,0.001599742
2014-09-15,2335.23,-0.007266181
2014-09-16,2299.36,-0.015479564
2014-09-17,2323.88,0.010607379
2014-09-18,2322.88,-0.000430407
2014-09-19,2331.31,0.003622546
2014-09-22,2288.65,-0.018468217
2014-09-23,2293.12,0.001951212
2014-09-24,2322.44,0.012705021
2014-09-25,2313.66,-0.003787671
2014-09-26,2309.26,-0.001903559
2014-09-29,2294.49,-0.00641653
2014-09-30,2285.1,-0.00410081
2014-10-01,2281.12,-0.001743237
2014-10-02,2283.02,0.000832577
2014-10-03,2289.93,0.003022122
2014-10-06,2301.52,0.005048525
2014-10-07,2306.46,0.002144107
2014-10-08,2314.86,0.003635329
2014-10-09,2327.46,0.005428334
2014-10-10,2293.32,-0.014776995
2014-10-13,2282.29,-0.004821224
2014-10-14,2275.83,-0.002834504
2014-10-15,2289.87,0.006150226
2014-10-16,2273.24,-0.007288921
2014-10-17,2274.46,0.000536535
2014-10-20,2292.78,0.008022394
2014-10-21,2284.01,-0.003832385
